,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Net Investment Income,Gain/Loss on Investments and Other Financial Instruments,Fair Value or Unrealized Gain/Loss on Financial Assets,Gain/Loss on Foreign Currency Exchange,Irregular Income/Expense,Fixed Asset Disposals,Other Irregular Income/Expense,Write Off/Write Down of Other Assets,Disposal of Businesses,Merger and Acquisition Income/Expense,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Current Tax,Deferred Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Operating Expense,Reported Total Operating Profit/Loss,Reported Normalized Income,Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,28958.0,35765.0,35765.0,-6806.0,-6806.0,-33381.0,-4423.0,-512.0,-88.0,-88.0,-92.0,4.0,,,-199.0,,-193.0,-6.0,20.0,,20.0,,,,-245.0,-4935.0,-2106.0,-2384.0,278.0,-7041.0,-7041.0,,-7041.0,-7041.0,-7041.0,,,35765.0,-33381.0,-4422.0,-4741.0,-60.61,-60.61,-60.61,-60.61,116.17,135.33,-60.61,-60.61,116.18,116.18
2019,38818.0,51683.0,51683.0,-12864.0,-12864.0,-50968.0,-12150.0,-416.0,-12.0,-12.0,-78.0,66.0,,,-193.0,,-159.0,-34.0,-236.0,,0.0,,-189.0,-47.0,25.0,-12567.0,-1197.0,-2394.0,1197.0,-13764.0,-13764.0,,-13764.0,-13764.0,-13764.0,,,51683.0,-50968.0,-12149.0,-12171.0,-94.98,-94.98,-94.98,-94.98,144.91,144.91,-94.98,-94.98,144.91,144.91
2020,55613.0,76275.0,76275.0,-20661.0,-20661.0,-74921.0,-19308.0,-1209.0,-132.0,-132.0,-248.0,116.0,,,-235.0,,-204.0,-31.0,-922.0,,,-922.0,,,80.0,-20519.0,-2440.0,-2317.0,-123.0,-22959.0,-22959.0,186.0,-22772.0,-22772.0,-22772.0,,,76275.0,-74921.0,-19308.0,-19391.0,-147.86,-147.86,-147.86,-147.86,154.01,154.01,-147.86,-147.86,154.02,154.02
2021,81802.0,106115.0,106115.0,-24312.0,-24312.0,-76617.0,5185.0,6689.0,-313.0,-202.0,-232.0,30.0,-111.0,-111.0,6802.0,6942.0,-109.0,-31.0,65.0,,65.0,,,,135.0,11874.0,-6349.0,-6981.0,631.0,5525.0,5524.0,195.0,5720.0,5720.0,5720.0,,,106115.0,-76617.0,5184.0,4975.0,36.43,36.43,35.15,35.15,157.01,162.73,36.43,35.15,157.04,162.73
2022,95143.0,147049.0,147049.0,-51905.0,-51905.0,-98859.0,-3716.0,-282.0,-90.0,-79.0,-129.0,50.0,-11.0,-11.0,-200.0,31.0,-82.0,-149.0,-50.0,-51.0,1.0,,,,58.0,-3997.0,-3642.0,-4718.0,1075.0,-7639.0,-7640.0,70.0,-7569.0,-7569.0,-7569.0,,,147049.0,-98859.0,-3715.0,-3896.0,-47.34,-47.34,-47.34,-47.34,159.89,159.89,-47.34,-47.34,159.91,159.91
TTM,95143.0,147049.0,147049.0,-51905.0,-51905.0,-98859.0,-3716.0,-282.0,-90.0,-79.0,-129.0,50.0,-11.0,-11.0,-200.0,31.0,-82.0,-149.0,-50.0,-51.0,1.0,,,,58.0,-3997.0,-3642.0,-4718.0,1075.0,-7639.0,-7640.0,70.0,-7569.0,-7569.0,-7569.0,,,147049.0,-98859.0,-3715.0,-3896.0,-47.34,-47.34,-47.34,-47.34,159.89,159.89,-47.34,-47.34,159.91,160.81
