,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses","Other Income/Expense, Operating","Other Income, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Gross Interest,Interest Capitalized,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Irregular Income/Expense,Impairment/Write Off/Write Down of Capital Assets,Gain/Loss on Extinguishment of Debt,Restructuring and Reorganization Income/Expense,Fixed Asset Disposals,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Other Adjustments to Net Income Available to Common Stockholders,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Normalized Income,Reported Effective Tax Rate,Reported Normalized EBITDA,"Operating Income/Expense, Supplemental Section","Depreciation, Amortization and Depletion, Supplemental","Depreciation and Amortization, Supplemental","Depreciation, Supplemental","Amortization, Supplemental",Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Diluted EPS,Basic EPS.1,Diluted EPS.1,Basic WASO,Diluted WASO
0,-0.12787157325393353,-0.006379307970738522,-0.013480478886580716,-0.008865951613050005,-0.008759110656478043,-0.01277601576620735,-0.012683593812678796,-0.03726222479594557,-0.03871158879613835,-0.13669371024688787,-0.12152672207522323,-0.10983511052733758,-0.1290983403452464,-0.10131161015726264,-0.1157349290999161,-0.03498532966219751,-0.05256829038478085,-0.049268157343149065,-0.049268157343149065,-0.118292109575427,-0.053966066508437334,-0.11911488108387873,-0.0862819851346738,-0.053966066508437334,-0.09803789328423115,-0.05068057580675392,-0.08914392468106405,-0.05060911299577897,-0.05060911299577897,-0.08388060360321058,-0.04550830399746856,-0.07579164736543921,-0.04250598824625607,-0.04043278278705614,-0.03632956511325777,-0.036165222862455104,-0.013332516671692,-0.1368030032320876,-0.1593550163953365,-0.05079508477518698,-0.12011207320275895,-0.03357952551686748,-0.12093133955647198,-0.1386537396479729,-0.1325156696714707,-0.13284533611670182,-0.07923166862794769,-0.10718893580209836,-0.0744573990308072,-0.10081935319221245,-0.03651845793740068,-0.03640995605571229,0.006219345257169224,-0.07461874220456305,-0.074767126737563,-0.047050596429036015,-0.03708386940076161
Revenue per Share,0.029932260120029672,0.2857843603808459,0.24872761236868912,0.20728969314177245,0.07488481761124965,0.20013478112554225,0.18259096648698614,0.11149550054952938,0.11217780893609978,0.06458212200734499,0.05868551957359989,0.05589949336991809,0.06982456187824965,-0.01053378123428526,0.0443412836804357,0.05367364653163853,0.1045292982389833,0.10028413616691383,0.022051274736046317,0.03251000616547399,0.06536902878216319,0.009163633538421225,0.03844660456633726,0.04134162328097226,0.05113820457686403,0.024659179230217466,0.01862172125287239,0.02648350394128373,0.027246679972793012,0.05505291812521481,0.06963611601015089,0.10991356850556137,0.07561286611790702,0.06028390060811732,0.05780217783130816,0.1011292301357221,0.2441091901904582,0.07078615717990033,-0.0007306909180820522,0.07684276361146339,-0.017357721362924818,0.10562349693190318,-0.0003378792150508982,-0.004199961194989638,0.001369884304324765,-0.002569812725139619,0.01966933939758104,0.038322312687587755,0.02062995409440906,0.03747386985925212,0.026671718936655223,0.025740283823223326,0.032700341587794876,0.023904811772786798,0.01848689909206142,-0.004111876301594568,0.00266960057201573
EBITDA per Share,0.018793069424651893,0.03203815101495734,0.03684475463023036,0.06490440222802984,0.06315258321174927,0.17337929443052313,0.17296431550735542,0.0667160498839859,0.06178871103655846,0.04102802110498258,0.025572840724665504,0.013956881922736634,0.029091016548101825,0.012981167594797137,0.021650684246071618,0.056832043220154733,0.0545942988195724,0.05690210957304059,0.06485959061594496,0.01748015342959365,0.04775074121701141,0.02620766612114142,0.03737184760530022,0.034214564381845204,0.053493935046383986,0.07035324195652713,0.026954736468614498,0.053228648061351566,0.05514547568135903,0.0856883578382657,0.03255284955604802,0.07660149095547138,0.05437051493712056,0.041428828252113706,0.010615999227182283,0.015698627911639774,0.033678558647729326,0.030542876182809715,0.03652697187638331,0.04189080479206364,0.054421692671978654,0.013692907820655976,0.033799136760995385,0.038718069109348524,0.03706605866050798,0.03473355352652151,-0.007784043197717919,0.020315011292090047,-0.002865532420056628,0.021804021160062144,0.049920532301728826,0.06403377101484707,0.03972776941787872,-0.0014908707046023455,0.005157371044387555,0.02769497137613092,0.03330630925440718
EBIT per Share,0.02201166917525108,0.03054955277355505,0.0363610118041426,0.05399126898887276,0.05835629498121243,0.17736464997255394,0.18073588551494954,0.06687876646662429,0.06186841746296779,0.025932713061867098,0.026029532958092346,0.011090374338826519,0.033588195038288214,0.012739535044600646,0.026826495106367396,0.06087830893014386,0.05331581599813996,0.061689409953068985,0.07155381628532355,0.017067540091514746,0.04706271164851844,0.02814168752306179,0.03375932138069191,0.04824420028599307,0.05379444883362115,0.07217253693051207,0.025514332763744662,0.05409379526897537,0.05584592395833623,0.04955166786386577,0.034827338315238876,0.07082642133006009,0.05237892782014644,0.04170744455234382,0.02081855470464246,0.016291381136642337,0.02818046327510406,0.0283199760086634,0.03746787717334361,0.046050794501602724,0.04263900116832721,0.018482001193882616,0.037247209951830736,0.020460940174633277,0.036410692261370274,0.03486045189307575,0.0020299395494041902,0.018880198698285857,0.008231201866220025,0.03163109072533494,0.058540282442019136,0.06350501588647076,0.04835699942673759,0.00484917792586311,0.01729803209939218,0.032354866074086205,0.004224226253868786
Earnings per Share (Diluted),0.11383629032174881,0.10451405338627698,0.11917182054885388,0.157515739880944,0.1791997460473111,0.27017816674282946,0.17779769005591586,0.09784746564454688,0.11842598597354605,0.13179402634899018,0.13753260919841326,0.11327504726723235,0.12904488162196437,0.0665793526759446,0.08481375811707546,0.11691243387063036,0.16165936723401161,0.07656869529603114,0.0834315953456635,0.02582910524086132,0.11969124043912346,0.04075008222231865,0.07288511663957255,0.12786266983803551,0.08399682759841247,0.04211208963534958,0.07203490681350239,0.13175904772899963,0.1087997058965522,0.10020933993373629,0.1216413092623127,0.1087605465295067,0.0829958171979093,0.1944074418707437,0.11848011443988568,0.16651737446858839,0.12238313278036411,0.14358537094897464,0.061385083941505644,0.06967686290866598,0.06966389475822835,0.1663671662641479,0.028925308700032043,0.030559400851970012,0.04459730355166741,0.045119095917623926,0.07416685346503989,0.10666615279315463,0.14117021309166872,0.1386262583970713,0.15845858937911284,0.14878429846508537,0.1383806705519629,0.10005753947525722,0.1432275202234013,0.0006012031330288538,0.09346059169683692
EPS without NRI,0.055370763780012926,0.03383377943106557,0.032693243870326565,0.1461698307567879,0.14022342880740796,0.1069620117894104,0.09513205546795311,0.08796707773704164,0.07122422265336951,0.04239344930494787,0.02652100855375879,-0.00696978349726424,0.04248138511876124,0.027152201132262806,0.02322791553713406,0.0742095039678153,0.062346755269124726,0.015814593758149365,0.0498372986984695,-0.001946055333405008,0.10005078904190015,0.020037867452234015,0.03035582684061238,0.1152412679583038,0.08056570272185445,0.04947695422288479,0.03136157746215893,0.006580166800692977,-0.009390512236029634,0.06882417108093189,-0.003473993191619926,0.028571955553622394,-0.0022869465084238722,0.0007614897397070033,0.04741445202964575,0.06939169572577299,-0.00543874044660092,0.04136706468909893,0.059623258431115225,0.035241821276750795,0.0722426224995082,0.05942998716354311,0.00394156139926056,0.03803110196011113,0.051015596194406536,0.010213440715556042,0.11020791707715134,0.15893060025792047,0.18897658462956754,0.15721907195084608,0.0381225777393832,0.037855803933319,0.15694115397044728,0.165037631476995,0.21020782117282208,0.07239205971813542,0.05059478353781385
Owner Earnings per Share (TTM),0.08786620578256327,0.005336225498562591,0.03708287911662063,0.034246217554278285,0.08388156934854292,0.17327776328649902,0.10587484125641432,0.09366237529703915,0.0933443933573515,0.13978842496980834,0.08834990143459669,0.06513719979585819,0.06201804200124016,0.04189919128294942,0.06704107984200126,0.0979873450584068,0.09338121808403074,0.11484154560597497,0.11872095544104894,0.04747807572570419,0.09671115988013684,0.06969482748772877,0.04586608844617814,0.06840999546700227,0.09449600222017508,0.056341618990548556,0.0789635429952616,0.11465724030805952,0.1189890875578809,0.14429980193070216,0.0957071529352971,0.1916760008150046,0.15557151895149202,0.15005985155524665,0.05646328321413947,0.05342758866314196,0.05989013136665635,0.14353871091907816,0.08678584768892242,0.09601007792625058,0.045195550449047425,0.11384820713662465,0.09642242587735866,0.08833704383321016,0.08856528308289138,0.08758484239056667,0.03174508875386215,0.06730490978138952,0.015626214070044744,0.0687320167758526,0.17236585273461197,0.17368727016410818,0.04870985828662348,0.01214577087584549,0.028533501535501105,0.005556899748705664,0.012022634668217102
Free Cash Flow per Share,0.026499619203104143,0.014059411411276704,0.01554688887113059,0.02423006030293002,0.027435243890739612,0.17130472676830852,0.1761461210440102,0.05691618637272864,0.04045400666959681,0.029796155502294128,0.03706217929800245,-0.00409205788383687,0.010316425729091354,-0.0026641687180980725,0.018949158127333318,0.061380305334420564,0.03643768036325101,0.06420578182311891,0.07580717749443175,0.030587106217375103,0.043774066363413744,0.04071650794664236,0.03195430332748008,0.03480403102519549,0.039013381035561324,0.057310199355132437,0.027165617732333343,0.05347628187165954,0.060240397109536575,0.0756381482534714,0.047936606620912814,0.13869936877129396,0.12432252123967037,0.12455109645081987,0.010134691034469507,0.005663357478006661,0.01869225001579626,0.029227606434947796,0.049028705895651885,0.05693217137712172,-0.00456506558966592,0.007952868135101166,0.06017923682092151,0.05409055957163906,0.056905071433835115,0.05287504209724858,-0.014738802928691497,0.0179896537585237,-0.0017842201852265082,0.01841090110056552,0.08538362566116756,0.08334057195895131,0.004033269693507131,-0.01351255755328356,-0.0005684288323875735,0.012773639032811894,0.016868531432554484
Operating Cash Flow per Share,0.049633820597247476,0.07972549957618819,0.0955352320449905,0.12090920278294108,0.13173978540187947,0.3316467963399206,0.19079271719213747,0.15688395126090937,0.1569981159063448,0.11857546510659991,0.12199270552090291,0.0675356343350186,0.03510050035947895,0.014320954844352776,0.011673438393892557,0.05387561144362667,0.03160458312138305,0.06847453420260907,0.06151366502288358,0.012252948922038919,0.05147985363434408,0.044676659437706975,0.029958618520030504,0.04586335292328329,0.06490171299389833,0.04557902319876303,0.027966359501104328,0.1433022880513614,0.14256604382081545,0.08035702649710244,0.03453232621983659,0.1469248871715044,0.11790947436022897,0.1141103978674349,0.010591553417338345,0.09399781826990698,0.09449016069533957,0.11711298145791887,0.029972740846844478,0.04629253017124069,-0.005294201881875699,0.10648372277628373,0.05937658889561263,0.03881837684945729,0.04793076016013432,0.0366757055295677,-0.02329071607158164,0.04962228427990709,-0.007500249018086176,0.05221250011418732,0.08362718135339817,0.060093850497286015,-0.004004747762776766,-0.028071441550387044,-0.02101400882846618,0.008314984360332775,0.01957877178391506
Cash per Share,0.0867041440986566,0.06499268527671537,-0.007056011567796694,0.13399118281239267,0.11830959192507888,0.1469124758524527,0.11808414339676658,0.0544047600085373,0.056816748046454035,0.029267080691963474,0.026896006836771055,0.004393901202852794,0.027119598976351626,-0.0032403689968511142,-0.01520698889633795,0.050857588350316035,0.04833723916136346,0.04046284878254635,0.04764695657656042,-0.002735212862753782,0.06710354802989023,0.010906253735644252,0.029966887281344844,0.07425127181352842,0.04994757770158192,0.0581925934502821,0.016902002108548937,0.027707258724262013,0.0372635254071092,0.06618208240957175,0.028107571389256916,0.11822214591727193,0.09275962482395438,0.07613154948544056,0.038403090146634365,0.03786948577355904,-0.01489410705154923,0.015988202542885036,0.020983720842271056,0.03499041348247426,-0.014996318057320842,0.03488770795032323,0.003479288365162452,0.002123874580400616,0.01094264543264813,0.007079335660757796,0.04959012783663207,0.03646554951150671,0.041883115926475575,0.05965470510541577,0.07298564030759369,0.06292767272455582,0.04291304475279888,0.046972002697886726,0.043555626886125326,0.015760556331376976,0.0464684909849212
