,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses","Other Income/Expense, Operating","Other Income, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Gross Interest,Interest Capitalized,Interest Income,Other Finance Income/Expenses,Other Finance Expenses,Irregular Income/Expense,Impairment/Write Off/Write Down of Capital Assets,Gain/Loss on Extinguishment of Debt,Restructuring and Reorganization Income/Expense,Fixed Asset Disposals,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Other Adjustments to Net Income Available to Common Stockholders,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Normalized Income,Reported Effective Tax Rate,Reported Normalized EBITDA,"Operating Income/Expense, Supplemental Section","Depreciation, Amortization and Depletion, Supplemental","Depreciation and Amortization, Supplemental","Depreciation, Supplemental","Amortization, Supplemental",Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Reported Normalized Diluted EPS,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,158.98,511.08,511.08,-352.1,-352.1,-98.8,-98.8,0.0,0.0,60.18,-20.28,-20.28,-15.64,-15.87,-15.93,0.06,0.24,-4.64,-4.64,0.0,,0.0,,,0.0,39.9,-0.06,39.84,39.84,,39.84,,39.84,39.84,,,511.08,60.18,31.48,0.002,84.08,,,,,,0.8,0.8,0.77,0.77,49.52,51.73,0.0,0.8,0.77,49.52,51.73
2018,243.47,698.49,698.49,-455.03,-455.03,-150.91,-150.91,0.0,0.0,92.56,-27.35,-26.53,-18.74,-19.13,-19.2,0.07,0.39,-7.79,-7.79,-0.82,,-3.38,,2.55,,65.21,-11.27,53.93,53.93,,53.93,,53.93,53.93,,,698.49,95.11,63.81,0.173,126.93,,,,,,1.03,1.03,1.0,1.0,52.46,54.11,0.0,1.03,1.0,52.46,54.11
2019,260.37,744.96,744.96,-484.59,-484.59,-176.31,-176.31,,,84.06,-27.93,-26.42,-24.74,-25.08,-25.13,0.05,0.34,-1.67,-1.67,-1.51,,-1.51,,0.0,,56.13,-12.44,43.69,43.69,,43.69,,43.69,43.69,,,744.96,84.06,48.73,0.222,127.92,,,,,,0.75,0.75,0.74,0.74,58.35,59.15,0.0,0.75,0.74,58.35,59.15
2020,321.32,882.62,882.62,-561.3,-561.3,-224.39,-224.39,,,96.94,-39.95,-27.72,-26.51,-26.63,-26.67,0.03,0.12,-1.21,-1.21,-12.23,-8.0,0.0,-4.23,0.0,,56.99,-11.88,45.11,45.11,,45.11,,45.11,45.11,,,882.62,84.71,57.82,0.209,149.96,,,,,,0.77,0.77,0.76,0.76,58.89,59.36,0.0,0.77,0.76,58.89,59.36
2021,403.5,1161.46,1161.46,-757.97,-757.97,-303.04,-303.04,,,100.46,-55.5,-30.03,-29.05,-29.08,-29.1,0.02,0.03,-0.98,-0.98,-25.47,0.0,-25.47,0.0,,,44.96,-9.76,35.2,35.2,-2.32,32.88,-6.08,26.8,26.8,,,1161.46,100.46,61.77,0.217,169.43,,-55.27,-55.27,-30.49,-24.78,0.45,0.45,0.45,0.45,59.52,60.06,0.0,0.45,0.45,59.52,60.06
