,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,"Cash Restricted or Pledged, Current",Inventories,Finished Goods and Merchandise,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Amount Due From Related Parties, Current","Other Receivables, Current","Prepayments and Deposits, Current","Deferred Costs/Assets, Current",Other Current Assets,Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Leasehold and Improvements,"Machinery, Furniture and Equipment",Plant and Machinery,"Furniture, Fixtures and Office Equipment",Other Equipment,"Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Impairment of PPE,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Intangibles other than Goodwill,Trademarks and Patents,Software and Technology,Customer Relationships,Other Intangible Assets,Goodwill,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Trademarks and Patents,Accumulated Amortization of Software and Technology,Accumulated Amortization of Customer Relationships,Accumulated Amortization of Other Intangible Assets,Other Non-Current Assets,"Prepayments and Deposits, Non-Current","Prepayments, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Other Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Notes Payable, Current Debt",Current Portion of Long Term Debt and Capital Lease,"Capital Lease Obligations, Current",Current Portion of Long Term Debt,Other Current Portion of LT Debt,"Convertible Loans/Debentures, Current Portion of LT Debt","Derivative and Hedging Liabilities, Current","Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current","Other Deferred Liabilities, Current",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Convertible Debentures/Loans, Non-Current","Bank/Credit Facilities, Non-Current","Notes Payables, Non-Current","Capital Lease Obligations, Non-Current","Derivative and Hedging Liabilities, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,"Common Stock, with Par Value",Preferred Stock,Additional Paid in Capital/Share Premium,Retained Earnings/Accumulated Deficit,Stock Subscription,Reserves/Accumulated Comprehensive Income/Losses,Other Equity Interest
0,-0.08436771803806177,-0.0849864847969587,-0.05442766280734246,-0.05442766280734246,-0.0394259723411143,-0.09658938918808703,-0.0031292008251600735,-0.08517159556741526,-0.05442766280734246,-0.054515592712825967,-0.08580253893428633,-0.03357952551686748,-0.05130037409608541,-0.046054423706199964,-0.04453426111546003,-0.0849864847969587,-0.03788377945466806,-0.07757070039873147,-0.037935490645632924,-0.03713080082264894,-0.08707599881126134,-0.03446709505079728,-0.05112608323680127,-0.026516871355418557,-0.02657031889549266,-0.038772405165828756,-0.041810956416458885,-0.03468421906988258,-0.08412297754755474,-0.06297981870054156,-0.054515592712825967,-0.026516871355418557,-0.02199298366696667,-0.035987257641537214,-0.05112608323680127,-0.08518780158970524,-0.04107215315379844,-0.049339620154124006,-0.049339620154124006,-0.03097661618303327,-0.07216639896016416,-0.03933737037107982,-0.0491639514084655,-0.0508363894592298,-0.046054423706199964,-0.04453426111546003,-0.03285896824431194,-0.023119443576540676,-0.05446786527289271,-0.08707599881126134,-0.05096025563422974,-0.027036105986363516,-0.052907500216602524,-0.08645564443004329,-0.04296971368883483,-0.09239581454577088,-0.09239581454577088,-0.04883625694697334,-0.028521751615401124,-0.03620310649259028,-0.026642806934773354,-0.036165222862455104,-0.10116065057473257,-0.050299936088445275,-0.04910537525971317,-0.04581834511871466,-0.038147673257676123,-0.07789517616809474,-0.08486950843780927,-0.08539744086549875,-0.08796464432311062,-0.031193214853145017,-0.03428494878451211,-0.08973311769990187,-0.028521751615401124,-0.09073432744568774,-0.0767597588265265,-0.07697799536278233,-0.04969239972388071,-0.042339404731874086,0.006838488421654681,0.0027771070524086694,0.015261140382907486,-0.04074898293769078,-0.11041322593423594,-0.03133359670046226,-0.04453426111546003,-0.046054423706199964
Revenue per Share,0.04443359559184544,0.04719064210094889,0.049504674673194124,0.041328494972510135,0.03861104843545171,0.06564293558237314,0.07654024527148756,0.047580578016274785,0.03407825386742303,0.03815036025427095,0.04563489272851726,0.0680303757660972,0.03897329366479069,0.06046523324088406,0.08054796397732635,0.047036131502740025,0.0364500098708798,0.037752707869556465,0.030595925765890073,0.030623655406430614,0.021990223060061855,0.013826371453282662,0.02823742324001055,0.046172593949906054,0.053659413631758746,0.02892326044704313,0.02870897108676564,0.036178346617788175,0.05578087008964024,0.05983456492006722,0.0014699102502679431,0.048840704756571915,0.025672561865308436,0.05020610275182892,0.05831310887059255,0.02115689901746611,0.02025984123575773,0.007788437450273326,0.019616288874868233,0.044218033699506866,0.06601604034922323,0.03988081561250374,0.02003173391741166,0.05310287802581454,0.05978934330480558,0.0697872688853508,0.045910708189661135,0.04927867968385813,0.02666923873288168,0.035494756790663676,0.044558124792633345,0.04786312131692859,0.03178232240797575,0.04461696547556724,0.033918642203484735,0.043063953487006146,0.04244499595959614,0.035869422408460964,0.045851337780390314,0.042089774259520284,0.04345602083142585,0.05960904279161356,0.034917725523768706,0.053670297207010685,0.04271241373529877,0.06064011962306235,0.06452835713173918,0.04743868762985494,0.043651910115591545,0.04009849146441848,0.046061379713254996,0.04461658957983621,0.046110891599497335,0.04973752341694793,0.040725474098398724,0.037714657233956915,0.09266867679845871,0.05788088116910749,0.012091017563276796,0.018839979520038817,0.046207868543032674,0.03712534512193435,0.041860951884107635,0.10884062537576028,0.06533627546610031,0.045312328736181594,0.04577851353907629,0.06312378088753016
EBITDA per Share,0.05861650512123001,0.07830044801173232,0.059807914262093996,0.04221588242738598,-0.0020331113591119518,0.028694386214300052,0.06769003160499192,0.09891880806283376,0.04899742977298616,0.05429534466629612,0.04219837651756767,0.02432149014545397,0.031214167275122273,0.017461872190583254,0.02515789791351019,0.07502414438899602,0.04893711295393113,0.03562686885516223,0.03067585468587463,-0.003590471684860745,-0.009366298959244526,-0.018836761953328795,-0.003437976197130523,0.019392081346499532,0.015820359901599843,0.05028075940403732,0.055174339485494876,0.01923648279201085,0.06512175785912272,0.0655712289578089,-0.004735966071600258,0.015975761964014037,0.012591703426349255,0.02016727061256037,0.06969899405324834,0.033650761741191935,0.038974998303103144,0.033468409308731434,0.049560229813484284,0.06819727290356563,0.0867177948756498,0.08845713979438889,0.050341855490982565,0.07558038479245426,0.018988545611543495,0.01829208015346892,0.0848983729126826,0.07943940915695244,0.057674812670617026,0.015952171753857436,0.052826605251953464,0.01781401726655158,0.050609517671128264,0.023017312462371715,0.02878147162782558,0.05011199246528625,0.05162319598812921,0.031601744321701604,0.011075298596704768,0.01594371691112331,0.015591977100652972,0.0030458815637753323,0.04384954406255702,0.06399536584559437,0.05559193103689878,0.01746847930186812,0.024468979154154975,0.023974714251252267,0.027945354696616128,0.024264355551815307,0.02087364491423544,0.017554304769139596,0.017422579080935786,0.03414363930976099,0.012863651660282447,0.04713167396026965,0.08916801246668257,0.08574277600763519,0.063688331919781,0.05997508232808392,0.057557419677593626,0.03575800476864911,0.03924213421088948,0.06975420131496642,0.015358532073318935,2.5562095076628235e-05,0.00772002470326481,0.018016932646949264
EBIT per Share,0.06477548188674975,0.08109440793297461,0.05448025104297091,0.05700610515163978,-0.0017646017520325673,0.037149416800618826,0.07886730155647687,0.09452679367253979,0.06528285343616619,0.05329875249295675,0.04833504217709213,0.02595063426808869,0.03155171571248693,0.019181366423474875,0.025398016203780405,0.07104339329963609,0.04849735013115898,0.03416524278962101,0.03556264242114543,-0.0022368399115930927,-0.008390943357092142,-0.01909423985229734,-0.003630591473994127,0.03163757519014051,0.022490666152892674,0.05545181399044956,0.0617607176507664,0.02056354553337312,0.07755789718379624,0.06566322305279988,-0.0014204505567257176,0.016150659541780583,0.015979837577620795,0.020991712931614913,0.07051807165030043,0.03323720924611324,0.047921516253760364,0.038654986298552504,0.050010317263185146,0.06502064550346955,0.09388887375682849,0.0866366454521354,0.055115601419338994,0.07060809696439026,0.019011821308546045,0.018878583403633378,0.08763025381012515,0.07900607949452457,0.056943732782345706,0.01942109532770283,0.060076653317939835,0.0182638014878608,0.04950013729617077,0.027101363552903483,0.028221389390751844,0.042917731389434395,0.05091255786318958,0.043067371904750074,0.012765953695041894,0.014696394595395984,0.022025165782221814,0.014001378786011365,0.04556268117105616,0.06089204494352693,0.06167632912925301,0.01885311782765811,0.026205938647536203,0.0330054210260891,0.026915359458259465,0.03335891607435431,0.018207983748415948,0.016271434128716608,0.02193630232834452,0.03181657262027292,0.012594852021934937,0.05710667961812964,0.0765517686629732,0.08374966020294534,0.06891884343141495,0.06345060890700126,0.03945949759293384,0.03731596744862928,0.03876715238079263,0.06351028116053026,0.014221341521718025,0.014379942787093241,0.011258862773907204,0.01814048800273133
Earnings per Share (Diluted),0.11054320397522038,0.1729716527091738,0.10645719048312818,0.10788399035515663,0.06598782616711521,0.14439034522783328,0.09923977011919421,0.09738926079197778,0.10240962992763003,0.10052528229021153,0.087790603478093,0.13155216330475697,0.11269802078607191,0.1109831064354015,0.11607763392433479,0.10266600179190064,0.10607846091324667,0.1375508678552254,0.08467484762266428,0.0954908278889184,0.10298302757002796,0.06687397954920421,0.06823919799709784,0.07037989951261245,0.11343907296997223,0.07885436770703852,0.0831672555063799,0.13272288062022464,0.11892175754152247,0.10552107875786042,0.07076069451918239,0.11245628490212858,0.08689973914713259,0.09879232014615794,0.12574424340065016,0.06181426632699889,0.08749453039743729,0.07414452357913047,0.08320957033429198,0.10212060632267998,0.1377014672391429,0.08269969453818729,0.07056228966073176,0.11624136356288654,0.12499439291886567,0.12630900810678367,0.10852942360634045,0.10989507719476356,0.10358022876427724,0.13387652809197906,0.1116054525016742,0.11681858271000907,0.10753746075123558,0.1329836778400179,0.10171807204289947,0.08539861911436192,0.11374199567339262,0.09535542992022146,0.10202797246465954,0.10641480182526726,0.10109374713233099,0.11667843275606855,0.07620198267827785,0.1236796323621864,0.10863084728429459,0.12323420943770469,0.1313037680020945,0.13118207679324848,0.12777158050270024,0.12663525902036868,0.13628212034995224,0.10116228242061993,0.07056580360912966,0.14031974643205505,0.09957638171510046,0.09387495236787376,0.11931613707784847,0.1847671548207945,0.06889569971392673,0.07689587471663602,0.1128702501278487,0.1594635180794723,0.16892478589514517,0.15837805104212957,0.16550039167074168,0.10259514927505509,0.11992935489401706,0.1790383517459403
EPS without NRI,0.08147560254785309,0.08597783042289599,0.0451829498406128,0.0036439749344454276,0.03766524112508781,0.07144879450939703,0.12171432839928248,0.0741391363175926,0.014371598408557333,0.057223912075055894,0.049159925991766176,0.0880268754896085,0.08362490241917964,0.043593682446631,0.12495906736811407,0.12077146656296489,0.10124938275528199,0.09200405115945245,0.07799754389343498,0.05577959996739841,0.09398907677178588,0.09299876153731344,0.03942903725425262,0.10982292460011898,0.07505493133055188,0.07498326713345936,0.08185226918751623,0.10396934207597333,0.09372434642774888,0.07507373656492071,0.05593665786330001,0.10256448671342283,0.08784690114679643,0.0708353838023548,0.06942261419102136,0.07388207255209511,0.06623319420199429,0.006631782265302532,0.0038511672052233487,0.04924780667344132,0.07681975884213589,0.05290439738377066,0.005653196746352224,0.12519504863106243,0.09137996872373608,0.12966567205962273,0.12306448130427576,0.10282249190830804,0.05498103816965002,0.06362053412434869,0.03779364336241365,0.10415774199039352,0.07752398672467987,0.062399105490471236,0.030105970583557587,0.055607673251671964,0.07117389066930453,0.018225860531724696,0.06527959313813837,0.06779814735877368,0.08006969955067542,0.05603521358128393,0.04217955146268943,0.07587954525212781,0.008807606807944283,0.08767440130789715,0.12509624708207084,0.12569068135236802,0.093193324443212,0.05573495864828779,0.05955913113364204,0.06348794436800327,0.07729796260755595,0.13127198020138064,0.0864416856201439,0.08043380655276997,0.14074638526862746,0.06709056116393336,0.05589956074596685,0.05585613782350432,0.06309491124672818,0.09542431585162163,0.06807217364361409,0.011426426707331643,0.0083722071615603,0.13063354058524032,0.05442931689006996,0.1107210593564333
Owner Earnings per Share (TTM),0.1454797440344054,0.17825007611306645,0.10058988863478208,0.08747058599430552,0.018301896019839337,0.08547548391844194,0.08963474942424232,0.14721160544623269,0.09358214791325631,0.0782621948442109,0.0724742165520183,0.062224192399928144,0.0690441853679139,0.05679014403775939,0.054172258343179416,0.10183208521881291,0.1016739480726321,0.058566347822161934,0.01899491828235571,0.05964186242592668,0.04174192235376752,0.02552360772754537,0.04399352488963707,0.030444464352099125,0.061288421555423064,0.11482633507384042,0.10134131089612652,0.0634776628073406,0.11674374603503916,0.1090217015266163,0.03839364017372339,0.055124700157965716,0.03396615870428415,0.05664751871831807,0.11932189463948856,0.025429218216179463,0.09588230213309887,0.10513372298144597,0.11774066709405452,0.12827434221621645,0.144598420285246,0.1321945635413094,0.10893073215223921,0.10678655456824562,0.06510441395075109,0.06539608018211208,0.06498415680660143,0.10777566663819879,0.09004679102009942,0.06658312546934583,0.09669304924785412,0.05999449071265769,0.08918687318932045,0.06184635934301728,0.062314492548349656,0.05546426437473345,0.08619828050641049,0.06313798017795037,0.03695490730612489,0.060378361891902106,0.05038878163431268,0.05773216707162983,0.08301251204091102,0.10325100675530999,0.12301196347823701,0.06252823845051492,0.06220276668199126,0.06057737040310866,0.06165290645688607,0.05645720656045099,0.054838265987983234,0.05616406863665499,0.05977025440773835,0.07504849575433113,0.05087327157799433,0.09139131596202368,0.12227468559699692,0.18638300457526036,0.054263700401071514,0.06086063990560553,0.059804557377126866,0.10072367880169084,0.07825828354227808,0.18806003687002115,0.0870678554354528,0.00439896695090531,0.055353282094252415,0.1294301699900679
Free Cash Flow per Share,0.02734927337422448,0.06011585087076616,0.14072661404622996,0.07486928396208331,0.3915829918140399,0.0430845903857523,0.0724084666453313,0.06489677504638262,0.027595812197071724,0.04655824470843037,0.0401343192920676,0.00797051229135909,0.022323941295360382,0.008035547687963449,0.003744094126221374,0.11783664364549881,0.04183672122510852,0.017165745701929594,-0.028819679565530408,0.010668467204590148,-0.013014331333049174,-0.02345189831205906,-0.015175856780990647,-0.022529848694666156,0.002910327870379148,0.060884642755739855,0.06860672248422978,-0.024925466578037854,0.04532934044088348,0.03601078884047062,0.035432565421332315,-0.03199528135773144,0.009125112552592145,-0.004989961693100894,0.061380305334420564,0.022916134114542037,0.05445413093208873,0.05664919673490376,0.07098346159244691,0.09099507376098817,0.09854238695290607,0.10483059948722998,0.06804622563688384,0.040632687632288056,0.003730756039349616,0.007847315066207176,0.0719420208166889,0.058155321505280466,0.03146692398018855,0.020595211145085314,0.11892386834008212,0.002662633800770365,0.04397964021154982,0.016868712031596025,0.0189363007561206,0.04004765062398805,0.04098400338248478,0.032199392509801514,0.003727195634183754,0.007137751338732687,0.011819566017746157,0.024517811971763802,0.042612694264462424,0.05702638775707206,0.05980772154792307,0.010223060610558901,0.01570944430474401,0.01781514266682802,0.019872806507836543,0.025322242340994273,0.020214063881917068,0.009542935892895002,0.007276417158666972,0.018154797654101208,0.0008549680334109027,0.04171608839944263,0.048062957776661495,0.04181361606402958,0.0622701529381592,0.05356482222796918,0.021350555432621963,0.03210507058218718,0.03550132256904298,0.10241482868083533,-0.002997394102923292,0.011223285927348661,0.0006266452967594077,0.020779655015759582
Operating Cash Flow per Share,0.10585977562006825,0.13254656371419257,0.1447968697559338,0.07682444834559732,0.36767151790277475,0.05021050660563422,0.05991763428943015,0.10123254386661948,0.03320094677094751,0.08706997871637638,0.03904365746348354,0.0212846967451847,0.02274955999384028,0.013958296495723378,0.0020797118481954108,0.08448577295686674,0.06449975002093927,0.03122435012215513,-0.0268454971587795,0.015943829310696874,0.0017825669413218475,0.01106495244242141,0.0028953525566752106,-0.023170193600568784,0.03572995482081983,0.05412950579845495,0.05431078065848618,-0.015130641366322707,0.07120354869353968,0.06351005979048988,-0.005018877035933787,-0.022571525282919457,-0.010772402047194093,0.020285599400228248,0.06287567550747614,0.004349823788698402,0.055966706247353844,0.05441634016581848,0.05429615143887822,0.08739028029534697,0.0917543010686603,0.08859459167450438,0.052806142218422406,0.06102982026652742,0.01209602698987067,0.01495942542715768,0.06353410956491506,0.06975062285464322,0.033986701376674554,0.012246782565900834,0.07153847533774833,0.017970316735913396,0.0334334624497204,0.018570166649747314,0.030195833531199093,0.03111668117613052,0.03865011545113178,0.02247236617422824,0.014571141118010129,0.022119493168169097,0.016029087862957647,0.014681797206615409,0.05159214621100264,0.06181701539035843,0.06519820781815064,0.015591978307327675,0.020627314460246765,0.014798048120549086,0.02019456062810609,0.025445743401658644,0.020001633838957086,0.009109110354788138,0.013647282998586672,0.028928263824179703,0.004870833103179962,0.051990759442448894,0.12104660548161784,0.09232715388026641,0.04642220686363072,0.09029316313489207,0.021790327135067795,0.03036287565889677,0.02823203699868949,0.08062490224718992,0.07289286825407074,0.007714776577093689,-0.00030922321998070115,0.018155001364454214
Cash per Share,0.14310926853896733,0.14402639246960386,0.11947945390644144,0.12254453302692953,0.48774339178387727,0.11045231482449515,0.041391814667506036,0.07561883501228588,0.034758775481666525,0.020532091254008396,0.06716147253625568,0.04553923246678586,0.0666683302403302,0.04747077696186405,0.04888733939515963,0.06567832879432033,0.04573350996754621,0.06234605332376221,0.03708647348680071,0.024462747889994186,0.030535332317341245,0.007147313265589397,-0.019156556449469227,0.045735685429588724,0.039514737312610404,0.04582407707720413,0.04959051651328926,0.021980488935570447,0.07485033943089024,0.07064377303695361,0.04030052781927846,0.025898159340594012,0.020624349709060772,0.04638650538129104,0.05276071278931334,0.05140751396329226,0.04291857753728495,0.025414195291472236,0.03664223988322452,0.06438822307786755,0.08454429543665976,0.05560491024036272,0.03821185456420288,0.05033359987742074,0.021871549623274825,0.047128743872047366,0.0758551922129627,0.04784585105715856,0.041122205272859126,0.12537558198251683,0.06255542605792978,0.05794620799407203,0.020515094932634797,0.058795297347640864,0.032794770701910184,0.05186854336179232,0.04640261503979069,0.026536786072098292,0.03373060825538577,0.03494896750827906,0.02643812746861539,0.025106198286442144,0.05017999845515569,0.05551867751271535,0.03803109429157631,0.059169222822396964,0.05307940039379563,0.06132934004501043,0.056075911620644674,0.06673050636370033,0.06160910321293553,0.022356058780477348,0.028046541082704168,0.13007669858844909,0.03683268159541689,0.052425106374303,0.12394990309426562,0.14237253773067032,0.11581038593326967,0.11372430861212732,0.14238913837881012,0.1434574331420572,0.08759110278072532,0.1195893041654688,-0.0023233529342002986,0.03663984011264059,0.01814173870859324,0.11506277058381893
