,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,"Cash Restricted or Pledged, Current",Inventories,Finished Goods and Merchandise,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Amount Due From Related Parties, Current","Other Receivables, Current","Prepayments and Deposits, Current","Deferred Costs/Assets, Current",Other Current Assets,Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Leasehold and Improvements,"Machinery, Furniture and Equipment",Plant and Machinery,"Furniture, Fixtures and Office Equipment",Other Equipment,"Other Property, Plant and Equipment",Accumulated Depreciation and Impairment,Accumulated Depreciation,Accumulated Impairment of PPE,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Intangibles other than Goodwill,Trademarks and Patents,Software and Technology,Customer Relationships,Other Intangible Assets,Goodwill,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Trademarks and Patents,Accumulated Amortization of Software and Technology,Accumulated Amortization of Customer Relationships,Accumulated Amortization of Other Intangible Assets,Other Non-Current Assets,"Prepayments and Deposits, Non-Current","Prepayments, Non-Current",Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Other Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Notes Payable, Current Debt",Current Portion of Long Term Debt and Capital Lease,"Capital Lease Obligations, Current",Current Portion of Long Term Debt,Other Current Portion of LT Debt,"Convertible Loans/Debentures, Current Portion of LT Debt","Derivative and Hedging Liabilities, Current","Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current","Other Deferred Liabilities, Current",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Convertible Debentures/Loans, Non-Current","Bank/Credit Facilities, Non-Current","Notes Payables, Non-Current","Capital Lease Obligations, Non-Current","Derivative and Hedging Liabilities, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,"Common Stock, with Par Value",Preferred Stock,Additional Paid in Capital/Share Premium,Retained Earnings/Accumulated Deficit,Stock Subscription,Reserves/Accumulated Comprehensive Income/Losses,Other Equity Interest
2009,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2010,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2011,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,3.54,2.66,2.41,2.41,,,,,0.14,0.14,,,0.1,,,0.88,0.01,0.02,,,0.02,,0.01,0.01,,-0.01,-0.01,,0.85,2.04,2.04,,1.97,,0.07,,-1.19,-1.19,-1.19,,-1.12,,-0.07,0.03,,,0.97,0.97,0.71,0.54,0.54,,0.17,0.0,,,,,,,,,0.0,0.26,0.26,,,0.0,0.0,0.0,0.0,,,0.0,,,2.57,2.57,54.61,54.61,0.0,0.0,0.0,54.61,-52.04,,,
2015,24.32,9.71,1.05,1.05,,0.8,7.1,,0.46,0.46,,,0.3,,,14.61,0.19,0.22,0.02,0.02,0.08,,0.01,0.07,0.12,-0.03,-0.03,,14.34,16.03,7.62,,,,7.62,8.41,-1.69,-1.69,-1.69,,,,-1.69,0.08,,,10.33,4.11,3.29,2.56,2.56,,0.73,0.01,0.01,,,0.01,0.01,,,,,0.81,0.81,,,6.22,6.22,5.09,5.09,,,5.09,,1.13,13.99,13.99,68.66,68.66,0.0,0.0,,68.66,-54.67,,,
2016,25.5,12.07,1.66,1.66,,0.98,8.87,,0.43,0.43,,,0.13,,,13.42,0.19,0.26,0.14,0.14,0.1,,0.01,0.09,0.02,-0.06,-0.06,,13.11,16.9,8.45,2.62,,,5.83,8.45,-3.79,-3.79,-3.79,-0.44,,,-3.36,0.12,,,12.79,6.3,5.25,4.33,4.33,,0.92,0.68,0.68,0.67,0.67,0.01,0.01,,,,,0.37,0.37,,,6.49,6.49,6.49,6.44,,,6.44,0.05,0.0,12.71,12.71,71.09,71.09,0.0,0.0,0.0,71.09,-58.39,,,
2017,16.52,12.45,0.39,0.39,,0.94,10.64,10.64,0.38,0.24,0.14,,0.1,,,4.07,0.19,0.31,0.16,0.16,0.15,0.12,0.03,,,-0.12,-0.12,,3.82,8.99,8.99,2.62,3.71,2.38,0.28,0.0,-5.17,-5.17,-5.17,-0.81,-2.84,-1.24,-0.28,0.06,,,11.73,11.69,2.97,1.8,1.79,0.01,1.17,8.33,8.33,,,8.33,,8.33,8.33,,,0.39,0.39,,,0.05,0.05,0.05,,,,,0.05,,4.78,4.78,75.47,75.47,0.0,0.0,0.0,75.47,-70.69,,,
2018,9.09,5.95,2.83,2.83,,0.0,2.75,,0.27,0.27,0.0,,0.09,,,3.14,0.13,0.3,0.16,0.16,0.14,0.12,0.02,,,-0.16,-0.16,,2.96,6.98,6.98,2.62,1.69,2.01,0.65,,-4.01,-4.01,-4.01,-1.19,-0.9,-1.27,-0.65,0.04,,,8.71,2.96,2.63,1.84,1.84,,0.79,0.02,0.02,0.0,0.0,0.02,0.02,,,,,0.31,0.31,,,5.74,5.74,5.74,5.71,5.16,0.56,,0.03,,0.38,0.38,75.74,75.74,0.0,0.0,0.0,75.74,-75.36,,,
