,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Amortization, Non-Cash Adjustment","Stock-Based Compensation, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Other Assets, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment","Gain/Loss on Extinguishment of Debt, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment",Other Non-Cash Items,"Net Investment Income/Loss, Non-Cash Adjustment","Gain/Loss on Derivatives, Non-Cash Adjustment","Net Foreign Currency Exchange Gain/Loss, Non-Cash Adjustment",Changes in Operating Capital,Change in Trade and Other Receivables,Change in Trade/Accounts Receivable,Change in Loans Receivable,Change in Prepayments and Deposits,Change in Cash Restricted or Pledged,Change in Payables and Accrued Expenses,Change in Deferred Assets/Liabilities,Change in Other Current Liabilities,"Interest Paid, CFO Indirect",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Purchase/Sale of Intangibles, Net",Purchase of Intangibles,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Short Term Debt, Net",Proceeds from Issuance of Short Term Debt,Repayments for Short Term Debt,Issuance of/Repayments for Lease Financing,Repayments for Lease Financing,Issue and Financing Costs,Share Issuance Costs,Debt Issuance Costs,Cash Dividends and Interest Paid,"Interest Paid, CFF",Proceeds from Issuance/Exercising of Stock Options/Warrants,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,-5.7,-5.7,-5.7,-11.4,6.88,0.14,0.14,0.14,,6.57,0.21,0.0,,,,,0.0,-0.04,,,,-1.18,-3.11,-3.11,,-0.15,,2.08,,,,-0.69,-0.69,-0.12,-0.12,-0.57,-0.57,11.15,11.15,4.69,4.69,6.63,6.63,6.86,-0.22,,,,,,,,0.01,-0.19,5.34,4.76,0.58,,4.76
2018,-8.55,-8.55,-8.55,-13.41,5.1,0.55,0.55,0.06,0.49,4.09,0.81,0.17,,,0.03,0.14,,0.03,-0.56,-0.61,0.06,-0.24,-1.46,-1.46,,0.06,,1.15,,,,-1.1,-1.1,-0.07,-0.07,-1.03,-1.03,9.42,9.42,4.46,4.46,3.04,3.04,4.42,-1.38,,,,,,,,2.02,-0.1,5.11,-0.23,5.34,,-0.23
2019,-11.31,-11.31,-10.66,-23.9,15.4,1.05,1.05,0.21,0.83,4.93,9.45,0.0,,,0.0,,,-0.03,0.0,0.0,,-2.16,0.26,0.26,,-0.01,-23.82,21.41,,,-0.65,-1.08,-1.08,-0.02,-0.02,-1.06,-1.06,13.02,13.02,4.55,4.55,8.38,8.38,26.97,-18.59,-0.17,-0.17,,,,-0.78,-0.78,1.68,-0.64,0.95,0.62,0.33,,0.62
2020,-1.71,-1.71,-1.12,-26.32,20.16,1.14,1.14,0.19,0.94,8.56,10.46,,,,,,,0.0,,,,5.04,3.02,3.02,,0.11,1.05,0.08,0.18,0.6,-0.58,-0.73,-0.73,-0.02,-0.02,-0.7,-0.7,3.11,3.11,0.39,0.39,2.05,2.05,5.0,-2.95,0.0,0.0,,,,-0.17,-0.17,2.16,-1.32,1.62,0.67,0.95,,0.67
2021,-14.72,-14.72,-14.61,-21.37,9.26,0.95,0.95,0.07,0.88,5.52,2.79,0.0,0.0,0.0,,,,0.01,,,,-2.5,-3.47,-0.84,-2.63,-1.66,-147.69,8.06,-0.06,142.32,-0.11,-1.07,-1.07,-0.15,-0.15,-0.92,-0.92,55.1,55.1,75.21,75.21,-18.04,-18.04,2.5,-20.54,0.0,0.0,-6.24,-6.15,-0.09,-0.51,-0.51,4.68,,40.93,39.31,1.62,,39.31
