,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,"Trade and Other Receivables, Current","Taxes Receivable, Current","Other Receivables, Current","Trade/Accounts Receivable, Current","Prepayments and Deposits, Current",Total Non-Current Assets,Net Mineral Property Interests and Exploration Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,Other Current Portion of LT Debt,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Notes Payables, Non-Current",Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses
0,-0.06099156486334532,-0.09911666338106731,-0.05442766280734246,-0.05442766280734246,-0.04628308718771913,-0.0797698754337964,-0.035931475420562874,-0.023158786920666134,-0.08127887532686373,-0.03616755400804818,-0.054515592712825967,-0.054515592712825967,-0.043949476898442634,-0.08570809935528313,-0.05442766280734246,-0.0922321984387644,-0.08426220068800798,-0.0908259840778045,-0.0922321984387644,-0.08389411728152885,-0.08377206195656596,-0.0907748407623936,-0.09068241880886505,-0.0922321984387644,-0.0922321984387644,-0.06139368270830753,-0.06161191924456335,-0.05759226075051461,-0.04969688588838641,-0.04443020965792584,-0.03359939428197365,-0.0784019759778182
Revenue per Share,0.05951630941668759,0.03524492235814728,0.049504674673194124,0.041328494972510135,0.015241024227883357,0.05224030846464917,0.05838097424634775,0.05396818759921831,0.055418761268594394,0.04708357692000419,0.04011994065074951,0.04103762284557836,0.015571917810237031,0.03959266692269775,0.025284464789745012,0.06754992029744741,0.05758788364293167,0.06411677508139872,0.04892520861741796,0.05914168556030285,0.06166842532023577,0.06680184309003277,0.060901234080263926,0.05421787302736153,0.058920863321886244,0.10007090317765646,0.057089778018367406,0.056123597220006545,0.06337718259691855,0.05770335798290192,0.11147634262182105,0.04496837344580525
EBITDA per Share,0.05423568906418697,0.019480474181343542,0.059807914262093996,0.04221588242738598,0.016664241842465673,0.029579600455248517,0.01601640485935025,0.022765201925766237,0.03225358135360533,0.015027175639034974,0.04710503539335255,0.05740119657907374,0.05415078634231395,0.024659407690254306,0.05626113963217521,0.034830348553083125,0.034002960127166526,0.044316449476364296,0.035452500568365464,0.03771920287123318,0.0355830286846349,0.03957841708171579,0.03613760927744574,0.033551750815669336,0.035241296235319165,0.07115870134344109,0.06663663944866385,0.08394685775271554,0.0801472792292506,0.07062970720738149,0.07228794079487223,0.03598804973656146
EBIT per Share,0.0624888597766783,0.022230924619676667,0.05448025104297091,0.05700610515163978,0.020586417999216348,0.04248794333552146,0.01620438726361798,0.023704657912573084,0.03415722550747882,0.016592712676667305,0.05546076321757721,0.04784998436501974,0.055295292661041884,0.02878110245615177,0.05587381783932596,0.037280463473358595,0.0419658615448262,0.04954171550257352,0.035398950090570924,0.04337518249755223,0.04331919579084482,0.036914485673102834,0.04476626225737762,0.02908781799076389,0.03449355752437744,0.060464264730487986,0.06617428177050819,0.08357550048776143,0.07867748130247612,0.05579960083662793,0.07139904442035871,0.037719596326499204
Earnings per Share (Diluted),0.10402118006334753,0.1759224897106873,0.10645719048312818,0.10788399035515663,0.04526659010253024,0.13716247501054418,0.1044638208310748,0.11659100882366034,0.1392074743644286,0.11089416622994641,0.08996926552840666,0.10521206218841696,0.09512377084159383,0.1308166999014135,0.10219545482114056,0.1336868012013044,0.13054799659090602,0.11733847135788474,0.12707044219163344,0.12295808293399522,0.13074652787058016,0.12975374251044838,0.1287332654942259,0.13227029683541955,0.13617823021081607,0.09997075817211909,0.162526127806913,0.10584968812691826,0.11362175155617252,0.10746303441859249,0.18291266734626882,0.14785253784025004
EPS without NRI,0.07402249987360685,0.08319524670682295,0.0451829498406128,0.0036439749344454276,0.0027526449048021796,0.06723854106269245,0.08818589384211593,0.07524504359221426,0.10821373609351684,0.06945844291280932,0.1138704011948344,0.005213683713358619,0.11537975000501798,0.12280656619174274,0.053575302645695246,0.06843676101363322,0.06781674105790361,0.05431931381158288,0.09556356490056932,0.10658031581704835,0.13008521933440406,0.09908748850119095,0.06070685455936634,0.06092177958358355,0.13087269903654278,0.11624313600904367,0.04435965889454135,0.09381527068970444,0.09308597293731546,0.06294219112973937,0.02566085436823044,0.07255693321835699
Owner Earnings per Share (TTM),0.1443996022818367,0.1301297525841924,0.10058988863478208,0.08747058599430552,0.042844647113518194,0.06956728630254937,0.05284344721157452,0.05754204168885889,0.05988911189325506,0.05888825114145847,0.07749344700218039,0.09317882241629524,0.03456779042191796,0.05571071832469504,0.08872225909310588,0.07798131251395722,0.07310224048903312,0.06592085434077048,0.08206221164652065,0.07321029348895654,0.0767123235740486,0.07773922989854663,0.072635210558334,0.06727766522720256,0.08057900846058869,0.11240828161779479,0.16963360127341737,0.06841629674769213,0.07799066073464052,0.0745831069018023,0.14805621447954673,0.06993858809644492
Free Cash Flow per Share,0.0289051376618391,0.03385026537761189,0.14072661404622996,0.07486928396208331,0.4165159484604774,0.013946165527814927,0.006297495460911523,0.007342929185227056,0.04051698535933473,0.004526458490416711,0.12128207715652213,0.05966263095620681,0.018806118755058377,0.019086062044409106,0.030142392053195008,0.03308689876761359,0.03688437797178416,0.03796825412370048,0.03428867870760082,0.04132563219267442,0.03369760587504739,0.03411533739189517,0.04238599422285706,0.03347000256522136,0.02272847933359419,0.04880960600415683,0.02389924196778794,0.04761804322113282,0.040615429822351105,0.03369112626338759,0.07514572257994726,0.02112017604360547
Operating Cash Flow per Share,0.1054363560159631,0.08163535709945371,0.1447968697559338,0.07682444834559732,0.3917615198815506,0.01498034553291891,0.009496109949177585,0.019659856615919322,0.0698260648434505,0.008677456134601238,0.05724054590747002,0.07302879711545246,0.028218800983380057,0.016205700606030174,0.03266216944968102,0.02942881250366056,0.04048616707121024,0.026487258438424876,0.040838772486135926,0.036237385991951636,0.025478258524441848,0.030952713504644583,0.03714895059428099,0.0328100548704842,0.030284527476882695,0.10895096899351744,0.07718380393666927,0.07336660436973107,0.11657132534866976,0.04090269212956098,0.13525131814651165,0.020742566323943036
Cash per Share,0.14856928354432136,0.12179844099679933,0.11947945390644144,0.12254453302692953,0.4808955702057663,0.06247336981559718,0.036857531291859036,0.03456786311737477,0.059512509750127944,0.038637740671456845,0.034388568726778194,0.03880973523479965,0.018539602862501267,0.0601768706711053,0.03973743132972247,0.07150026478691636,0.08112828469787539,0.07116104804892104,0.0664157092617306,0.0712840390419015,0.07364518245280108,0.06657661784178562,0.07563367059469156,0.07020509054716507,0.1378391433110601,0.11737901751472271,0.13342846340107897,0.15257641053967885,0.15183169372753197,0.14979927986391292,0.057568529687601004,0.05146313456597044
