,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Deferred Taxes, Non-Cash Adjustment","Interest and Finance Income/Expenses, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Share of Profit/Loss from Associates, Joint Ventures and other Equity Investments, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Other Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment",Other Non-Cash Items,Changes in Operating Capital,Change in Inventories,Change in Trade and Other Receivables,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Provisions,Change in Other Operating Capital,"Dividend Received, CFO Indirect","Interest Paid, CFO Indirect","Interest Received, CFO Indirect","Taxes Refund/Paid, Indirect",Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Payment for Loan Granted and Repayments Received, Net",Cash Advances and Loans Made to Other Parties,Cash Receipts from Repayment of Advances and Loans Made to Other Parties,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Intangibles, Net",Purchase of Intangibles,"Purchase/Sale of Business, Net",Purchase/Acquisition of Business,Sale of Business,"Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,Payments for Common Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Short Term Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Proceeds from Issuance of Long Term Debt,Repayments for Long Term Debt,Issuance of/Repayments for Lease Financing,Repayments for Lease Financing,Net Movement in Non-Controlling/Minority Interest,Cash Dividends and Interest Paid,Cash Dividends Paid,Cash Dividends Paid to Non-Controlling/Minority Interests,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental"
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,98812.0,98812.0,107578.0,61694.0,-10445.0,23067.0,23067.0,18648.0,4552.0,-25057.0,-25057.0,4726.0,324.0,324.0,,4402.0,,-36381.0,56325.0,-118303.0,7980.0,166218.0,166218.0,430.0,,17735.0,-14814.0,4248.0,-15935.0,-86407.0,-86408.0,-19371.0,-32312.0,12941.0,-29000.0,-29590.0,590.0,-2310.0,-2310.0,-14816.0,-20227.0,5411.0,-13186.0,-26260.0,13074.0,-7725.0,-13052.0,-13050.0,-4.0,,-4.0,-5889.0,-21723.0,15834.0,148597.0,-132763.0,,,7389.0,-11258.0,-11258.0,-2622.0,-666.0,305241.0,-647.0,-2742.0,308632.0,,-648.0
2019,96476.0,96475.0,106696.0,75219.0,14277.0,21297.0,21297.0,19662.0,2895.0,-27779.0,-27779.0,-1255.0,-1764.0,-1764.0,,509.0,,-543.0,17200.0,-39968.0,77093.0,-74708.0,-74708.0,-179.0,54962.0,23951.0,-15138.0,5163.0,-24197.0,-42200.0,-42202.0,5837.0,-7802.0,13639.0,-24869.0,-30832.0,5963.0,-7113.0,-7113.0,-2285.0,-3753.0,1468.0,-15328.0,-32721.0,17393.0,1556.0,-74907.0,-74906.0,-691.0,,-691.0,-54760.0,24999.0,-79759.0,82636.0,-162395.0,,,2678.0,-16888.0,-16888.0,-3139.0,-2106.0,285687.0,-20631.0,1076.0,305241.0,,-20631.0
2020,40510.0,40510.0,37857.0,64573.0,13632.0,33106.0,33106.0,10954.0,4162.0,-24908.0,-24908.0,-7441.0,-10274.0,-10274.0,,2833.0,,-2241.0,-40349.0,901.0,66718.0,-94951.0,-94951.0,-628.0,-12389.0,26194.0,-14370.0,4362.0,-13533.0,-35669.0,-35666.0,1301.0,-642.0,1943.0,-15656.0,-24665.0,9009.0,-6903.0,-6903.0,-1558.0,-4809.0,3251.0,-11204.0,-20998.0,9794.0,-1646.0,-12164.0,-12165.0,-10053.0,6.0,-10059.0,33430.0,32786.0,644.0,394440.0,-393796.0,-12747.0,-12747.0,3293.0,-22517.0,-22517.0,-3662.0,91.0,272651.0,-7323.0,-5711.0,285687.0,,-7324.0
2021,84972.0,84972.0,85013.0,29417.0,30822.0,31850.0,31850.0,8002.0,3268.0,-14786.0,-14786.0,2610.0,-2860.0,-2860.0,,5470.0,,-122.0,24771.0,29878.0,1162.0,-14948.0,-14948.0,-17.0,8696.0,18198.0,-12199.0,3365.0,-9405.0,-35676.0,-35678.0,1436.0,-4.0,1440.0,-11805.0,-23889.0,12084.0,-6774.0,-6774.0,1641.0,-4349.0,5990.0,-21880.0,-31364.0,9484.0,1704.0,-40621.0,-40621.0,-4992.0,8.0,-5000.0,-164.0,-22969.0,22805.0,182585.0,-159780.0,-14235.0,-14235.0,-1986.0,-16381.0,-16381.0,-2878.0,15.0,287597.0,8675.0,6271.0,272651.0,,8674.0
2022,65084.0,65084.0,58288.0,85471.0,36450.0,34279.0,34279.0,31824.0,-2106.0,-37968.0,-37968.0,-4065.0,-6702.0,-6702.0,,2637.0,,14486.0,-63632.0,-26026.0,-96092.0,52031.0,52031.0,-495.0,6950.0,17799.0,-11961.0,12142.0,-11184.0,-138819.0,-138820.0,-2711.0,-10360.0,7649.0,-8083.0,-18370.0,10287.0,-8700.0,-8700.0,-28264.0,-35749.0,7485.0,-33716.0,-58097.0,24381.0,-57346.0,46898.0,46902.0,-15170.0,3.0,-15173.0,99798.0,54245.0,45553.0,280296.0,-234743.0,-15085.0,-15085.0,-1457.0,-16408.0,-16408.0,-4710.0,-66.0,271651.0,-26837.0,10890.0,287597.0,,-26835.0
