,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Cash,Short Term Investments,Other Short Term Investments,"Derivative Investment and Hedging Assets, Current","Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Gross Trade/Accounts Receivable, Current","Allowance/Adjustments for Trade/Accounts Receivable, Current","Other Receivables, Current","Prepayments and Deposits, Current","Deferred Tax Assets, Current",Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment","Machinery, Furniture and Equipment",Plant and Machinery,Accumulated Depreciation and Impairment,Accumulated Depreciation,"Accumulated Depreciation of Machinery, Furniture and Equipment",Accumulated Depreciation of Plant and Machinery,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,Intangibles other than Goodwill,Other Intangible Assets,Total Long Term Investments,Long Term Equity Investments,Investments in Associates,"Other Investments, Non-Current","Derivative Investment and Hedging Assets, Non-Current","Trade and Other Receivables, Non-Current","Trade/Accounts Receivable, Non-Current","Loans Receivable, Non-Current","Deferred Tax Assets, Non-Current",Other Non-Current Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Dividends Payable, Current","Other Payable, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,"Other Loans, Current Debt","Notes Payable, Current Debt","Bank/Credit Facilities, Current Debt","Derivative and Hedging Liabilities, Current","Provisions, Current","Other Provisions, Current","Provision for Employee Entitlements, Current","Other Employee-Related Liabilities, Current","Tax Liabilities, Current","Provision for Tax Liabilities, Current",Other Current Liabilities,"Deferred Liabilities, Current","Deferred Income/Customer Advances/Billings in Excess of Cost, Current",Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Notes Payables, Non-Current","Other Loans, Non-Current","Bank/Credit Facilities, Non-Current","Derivative and Hedging Liabilities, Non-Current","Provisions, Non-Current","Other Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Other Employee-Related Liabilities, Non-Current","Tax Liabilities, Non-Current","Provision for Tax Liabilities, Non-Current",Other Non-Current Liabilities,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum.Comp.Inc,Cumulative Foreign Exchange Translation Reserves/Accum.Comp.Inc,Gain/Loss from Cash Flow Hedges Reserves/Accum.Comp.Inc,Capital/Share Premium Reserve,Non-Controlling/Minority Interests in Equity,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 2,Debt due in Year 3,Debt due in Year 4,Debt due in Year 5,Debt due Beyond,Debt - Interests Charges and Other Adjustments,Capital Lease Obligation Maturity Schedule Total,Capital Lease due in Year 1,Capital Lease due in Year 2,Capital Lease due in Year 3,Capital Lease due in Year 4,Capital Lease due in Year 5,Capital Lease due Beyond,Capital Lease - Interests Charges and Other Adjustments,Other Contractual Obligations Maturity Schedule Total,Other Contractual Obligations due in Year 1,Other Contractual Obligations due in Year 2,Other Contractual Obligations due in Year 3,Other Contractual Obligations due in Year 4,Other Contractual Obligations due in Year 5,Other Contractual Obligations due Beyond,Other Contractual Obligations - Interest Charges and Other Adjustments,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 3,Total Lease Liability - Due in year 4,Total Lease Liability - Due in year 5,Total Lease Liability - Beyond,Total Lease Liability - Interest Charges and Other Adjustments,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 3,Total Contractual Obligations due in year 4,Total Contractual Obligations due in year 5,Total Contractual Obligations due Beyond,Total Contractual Obligations - Interests Charges and Other Adjustments
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2018,26426.0,1821.0,1356.0,1130.0,1130.0,226.0,226.0,21.0,433.0,90.0,90.0,,343.0,11.0,,24605.0,374.0,374.0,374.0,374.0,,,,,21390.0,21390.0,466.0,20924.0,20924.0,1603.0,474.0,474.0,1129.0,217.0,,,,1021.0,,19660.0,2223.0,1187.0,1187.0,516.0,671.0,,535.0,524.0,524.0,524.0,,,11.0,208.0,208.0,,,,,293.0,,,17437.0,15312.0,14871.0,14871.0,308.0,14563.0,,441.0,1040.0,1040.0,,,985.0,985.0,100.0,6766.0,5591.0,1746.0,1746.0,1746.0,-3455.0,7300.0,7402.0,25.0,-127.0,,1175.0,15395.0,859.0,1734.0,2029.0,1068.0,1508.0,14573.0,-6376.0,,,,,,,,,,,,,,,,,,,,,,,,,15395.0,859.0,1734.0,2029.0,1068.0,1508.0,14573.0,-6376.0
2019,35957.0,1925.0,1630.0,1630.0,1630.0,,,10.0,266.0,122.0,122.0,,144.0,19.0,,34032.0,414.0,414.0,414.0,414.0,,,,,27070.0,27070.0,466.0,26604.0,26604.0,5148.0,3614.0,3614.0,1534.0,293.0,,,,1107.0,,26055.0,3791.0,1354.0,1354.0,513.0,841.0,,966.0,959.0,959.0,959.0,,,7.0,1180.0,1180.0,,,,,291.0,,,22264.0,18003.0,17507.0,17507.0,356.0,17151.0,,496.0,2403.0,2403.0,,,1412.0,1412.0,446.0,9902.0,8754.0,2675.0,2675.0,2675.0,-3563.0,9642.0,9788.0,44.0,-190.0,,1148.0,18466.0,1379.0,2184.0,1304.0,1922.0,755.0,17783.0,-6861.0,,,,,,,,,,,,,,,,,,,,,,,,,18466.0,1379.0,2184.0,1304.0,1922.0,755.0,17783.0,-6861.0
2020,36550.0,2837.0,2349.0,2349.0,2349.0,,,71.0,204.0,117.0,117.0,,87.0,213.0,,33713.0,594.0,594.0,594.0,594.0,,,,,26406.0,26406.0,466.0,25940.0,25940.0,5118.0,3435.0,3435.0,1683.0,497.0,,,,1098.0,,27749.0,3857.0,961.0,961.0,485.0,476.0,,1649.0,1553.0,1553.0,1553.0,,,96.0,1012.0,1012.0,,,,,235.0,,,23892.0,20157.0,19525.0,19525.0,289.0,19236.0,,632.0,1931.0,1931.0,,,1213.0,1213.0,591.0,8801.0,7874.0,2919.0,2919.0,2919.0,-3887.0,8842.0,9031.0,47.0,-236.0,,927.0,21179.0,1917.0,1632.0,1907.0,877.0,2291.0,19419.0,-6864.0,152.0,17.0,17.0,16.0,17.0,18.0,105.0,-38.0,1296.0,589.0,76.0,404.0,58.0,47.0,308.0,-186.0,152.0,17.0,17.0,16.0,17.0,18.0,105.0,-38.0,22627.0,2523.0,1725.0,2327.0,952.0,2356.0,19832.0,-7088.0
2021,35671.0,4857.0,4285.0,4285.0,4285.0,,,,289.0,145.0,145.0,,144.0,283.0,,30814.0,567.0,567.0,567.0,567.0,,,,,21643.0,21643.0,466.0,21177.0,21177.0,7434.0,5751.0,5751.0,1683.0,145.0,194.0,194.0,,831.0,,24519.0,3064.0,1024.0,1024.0,397.0,627.0,,752.0,750.0,750.0,750.0,,,2.0,806.0,806.0,,,182.0,182.0,300.0,,,21455.0,17778.0,17081.0,17081.0,281.0,16800.0,,697.0,1587.0,1587.0,,,1778.0,1778.0,312.0,11152.0,10351.0,2929.0,2929.0,2929.0,-4270.0,11692.0,11852.0,-1.0,-159.0,,801.0,17964.0,1015.0,1483.0,1108.0,2135.0,2716.0,13391.0,-3884.0,141.0,16.0,16.0,17.0,19.0,19.0,87.0,-33.0,2292.0,759.0,261.0,234.0,222.0,177.0,639.0,,141.0,16.0,16.0,17.0,19.0,19.0,87.0,-33.0,20397.0,1790.0,1760.0,1359.0,2376.0,2912.0,14117.0,-3917.0
2022,38965.0,2399.0,2020.0,2020.0,2020.0,,,22.0,311.0,169.0,169.0,,142.0,36.0,10.0,36566.0,557.0,557.0,557.0,557.0,,,,,21219.0,21219.0,466.0,20753.0,20753.0,12519.11,10524.0,10524.0,1995.11,1012.0,4.89,3.0,1.89,915.0,339.0,23737.0,3494.0,1300.0,1300.0,463.0,837.0,,1113.0,1063.0,1063.0,1063.0,,,50.0,226.0,226.0,,,6.0,6.0,849.0,,,20243.0,16756.0,16580.0,16580.0,256.0,16324.0,,176.0,988.0,988.0,,,1832.0,1832.0,667.0,15228.0,14421.0,3939.0,3939.0,3939.0,-4936.0,15418.0,15379.0,-62.0,101.0,,807.0,17643.0,1434.0,893.0,2105.0,2866.0,1827.0,11572.0,-3054.0,131.0,17.0,17.0,19.0,19.0,20.0,68.0,-29.0,2331.0,855.0,138.0,151.0,117.0,90.0,980.0,,131.0,17.0,17.0,19.0,19.0,20.0,68.0,-29.0,20105.0,2306.0,1048.0,2275.0,3002.0,1937.0,12620.0,-3083.0
