,Total Revenue,Net Interest Income,"Interest Income, Revenue",Interest Income from Loans and Lease,Interest Income from Loans,Interest Income from Securities,"Interest Expense, Cost of Revenue",Interest Expense for Deposit,Interest Expense for Federal Home Loan Bank and Federal Reserve Bank Advances,Non-Interest Income,Net Fees and Commission Income,Fees and Commission Income,Service Revenues,Fees and Commission Expense,"Net Investment Income, Revenue","Realized Gain/Loss on Investments, Revenue","Gains/Loss on Derivatives, Revenue","Gain/Loss on Sale of Other Assets, Revenue",Other Revenue,Net Premiums Earned,Provision and Impairment for Loan Losses and Credit Risk,Non-Interest Expenses and Other Income,Non-Interest Expenses,Deposit Insurance Premium Expense,"Selling, General and Administrative Expenses",Staff Costs,General and Administrative Expenses,Occupancy and Equipment Expense,Occupancy Expense,Other Non-Interest Expenses,Foreclosed Real Estate Expense,"Depreciation, Amortization and Depletion",Depreciation and Amortization,Amortization,Irregular Income/Expense,Other Irregular Income/Expense,Pretax Income,Provision for Income Tax,Current Tax,Deferred Tax,Net Income before Extraordinary Items and Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Net Income after Non-Controlling/Minority Interests,Preferred/Other Stock Distribution,Preferred Stock Dividends,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,Income Statement Supplemental Section,Reported Normalized and Operating Income/Expense Supplemental Section,Reported Effective Tax Rate,"Total Revenue as Reported, Supplemental",Basic EPS,Basic EPS from Continuing Operations,Diluted EPS,Diluted EPS from Continuing Operations,Basic Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding,Total Dividend Per Share,Regular Dividend Per Share Calc,Special Dividend Per Share Calc,Basic EPS,Diluted EPS,Basic WASO,Diluted WASO
2012,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2013,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2014,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2015,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2016,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_,_PO_
2017,485.64,431.93,548.92,470.52,470.52,78.4,-116.99,-52.02,-64.97,53.71,26.93,26.93,26.93,,3.5,3.5,,1.49,21.78,,2.1,-231.52,-231.52,-11.41,-190.35,-112.26,-42.83,-35.26,-35.26,-29.76,,,,,0.0,0.0,256.22,-82.68,-92.8,10.11,173.53,173.53,173.53,,,173.53,173.53,,,0.3227,,1.95,1.95,1.94,1.94,88.91,89.22,0.0,0.0,0.0,1.95,1.94,88.91,89.22
2018,516.12,472.14,607.08,515.81,515.81,91.28,-134.94,-72.49,-62.45,43.98,29.71,29.71,29.71,,0.0,0.0,,-0.1,22.92,-8.55,5.45,-264.32,-264.32,-11.59,-211.02,-123.55,-51.02,-36.45,-36.45,-41.71,,,,,,,257.24,-53.39,-44.56,-8.84,203.85,203.85,203.85,,,203.85,203.85,,,0.2076,,2.4,2.4,2.4,2.4,85.01,85.11,0.0,0.0,,2.4,2.4,85.01,85.11
2019,544.19,481.06,671.47,568.1,568.1,103.37,-190.41,-122.22,-68.19,63.13,28.82,28.82,28.82,,-0.01,-0.01,,0.81,33.5,0.0,1.65,-283.06,-283.06,-9.81,-227.06,-133.59,-54.89,-38.58,-38.58,-46.2,,,,,,,262.78,-52.52,-50.93,-1.59,210.26,210.26,210.26,,,210.26,210.26,,,0.2,,2.61,2.61,2.61,2.61,80.47,80.5,0.0,0.0,,2.61,2.61,80.47,80.5
2020,570.3,469.51,621.27,545.71,545.71,75.56,-151.76,-100.31,-51.45,100.8,30.98,30.98,30.98,,15.03,15.03,,0.03,54.76,0.0,-21.75,-329.37,-315.56,-10.94,-257.08,-147.6,-69.91,-39.57,-39.57,-47.54,,,,,-13.81,-13.81,219.19,-45.75,-55.09,9.34,173.44,173.44,173.44,,,173.44,173.44,,,0.2087,,2.26,2.26,2.26,2.26,76.72,76.73,0.0,0.0,,2.26,2.26,76.72,76.73
2021,579.89,505.11,591.61,537.66,537.66,53.95,-86.5,-42.31,-44.19,74.78,31.59,31.59,31.59,,14.12,0.01,14.11,0.43,28.64,,-0.5,-346.25,-332.46,-14.37,-276.96,-176.11,-61.24,-39.61,-39.61,-41.13,,,,,-13.79,-13.79,233.14,-49.52,,,183.62,183.62,183.62,-10.03,-10.03,173.58,173.58,,,0.2124,,2.39,2.39,2.39,2.39,72.53,72.57,0.0,0.0,,2.39,2.39,72.53,72.57
