,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Fixed Assets, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Other Assets, Non-Cash Adjustment","Write off/Write down/Impairment of Capital Assets Loss/Reversal, Non-Cash Adjustment","Write Down and Write off of Other Assets, Non-Cash Adjustment","Stock-Based Compensation, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Realized Gain/Loss on Disposal/Sale of Financial Instruments, Non-Cash Adjustment","Unrealized Gain/Loss on Financial Assets/Liabilities, Non-Cash Adjustment",Other Non-Cash Items,"Deferred Taxes, Non-Cash Adjustment","Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Depreciation, Non-Cash Adjustment","Other Provisions, Non-Cash Adjustment","Other Operating Gain/Loss, Non-Cash Adjustment",Changes in Operating Capital,Change in Trade and Other Receivables,Change in Other Receivables,Change in Trade/Accounts Receivable,Change in Payables and Accrued Expenses,Change in Trade and Other Payables,Change in Trade/Accounts Payable,Change in Prepayments and Deposits,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net",Purchase of Mineral Properties/Rights/Interests,"Purchase of Property, Plant and Equipment","Sale and Disposal of Property, Plant and Equipment","Purchase/Sale of Investments, Net",Sale of Investments,Purchase of Investments,Other Investing Cash Flow,Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,Proceeds from Issuance/Exercising of Stock Options/Warrants,"Issuance of/Payments for Common Stock, Net",Proceeds from Issuance of Common Stock,Issue and Financing Costs,Share Issuance Costs,Debt Issuance Costs,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,"Cash and Cash Equivalents, Beginning of Period",Cash Flow Supplemental Section,"Change in Cash as Reported, Supplemental","Interest Received, Supplemental",Total Net Change in Cash
0,-0.046224657585223004,-0.046224657585223004,-0.046224657585223004,-0.04179268405681759,-0.01876492503252211,-0.007249767110287754,-0.03092553730885444,-0.03923316443639626,-0.046054423706199964,-0.09239581454577088,-0.09232435173479593,-0.04991795632703141,-0.09139214889776864,-0.035701766917177316,-0.09239581454577088,-0.08554440954736987,-0.09066286463471279,-0.046054423706199964,-0.046054423706199964,-0.04581834511871466,-0.034038143466149334,-0.03357952551686748,-0.04214584309302235,-0.03535547076858427,-0.02808467265845573,-0.046054423706199964,-0.04311128199954766,-0.046054423706199964,-0.046054423706199964,-0.046054423706199964,-0.057190791335156387,-0.057190791335156387,-0.04669314764509325,-0.049729881722684575,-0.08501455578821902,-0.04453426111546003,-0.08413458409430143,-0.08413458409430143,-0.08488563651775395,-0.08858499870432866,-0.09415076386620237,-0.09415076386620237,-0.0991086697048893,-0.07470812863818037,-0.0736267698576236,-0.00044872753570482,0.007039635347440809,-0.046054423706199964,-0.0010820971883251944,-0.056559543704813885,-0.04311128199954766,-0.05700124437885987,-0.04098149727115526,-0.04311128199954766,-0.032675647384438636,-0.046054423706199964
Revenue per Share,0.006607791693380015,-0.0012111627025869383,0.07689260482939801,0.04900953463263917,0.05123026738566373,0.0350303074209305,0.025751337191996446,0.026574394445868982,0.040549816691046126,0.04972468186773725,0.04341900597833584,0.06214520327179546,0.02750680985552634,0.024568983979849003,0.026630139680535434,0.027783871784686137,0.032684083908614076,0.04700949592175898,0.04876532163673022,0.06007021384599904,0.04995562524823593,0.04435926076750644,0.0509880113270832,0.04680881450531768,0.058748520210807315,0.05069701711779366,0.11257566732940234,0.048495048307096604,0.05539636098843801,0.059992265122467185,0.04483856069017801,0.04738428471375364,0.01536646949452615,0.030766254935420317,0.0491604294693998,0.06154041082998795,0.04647940805880994,0.0479723980350309,0.042638997151681485,0.054840186625325964,0.05089469767453832,0.04795571654622653,0.06228746040417165,0.12217470840325838,0.12106425544234871,0.03340566499947311,0.14243971017872614,0.05640958953743778,0.036221402876410944,0.056075053178334895,0.05805033799223423,0.058677828727267935,0.036425060754589074,0.04831463812392252,0.06500914706749196,0.05262853552368971
EBITDA per Share,0.040053678833313164,0.03843762951797944,0.046861823400708644,0.06768523076565239,0.07574412001749574,0.0795870106228314,0.07281111154581978,0.06519017840857406,0.01609875705571016,0.04082369481366034,0.0550540628150109,0.04289164498740106,0.034651815402700376,-0.004797130832010979,0.03944169311944306,0.04334723826926085,0.048912102764557895,0.0003575807255279108,0.00991988822754577,0.02080563566489205,0.022712407408753472,0.02171140598126371,0.06976901725026025,0.0898567209181336,0.09785304099286321,0.012922630899628484,0.05993287019704073,0.016899201904133843,0.013140644029836206,0.020524248907316453,0.06601445597651016,0.058822896490165304,0.0323060484923587,0.06118311871166933,0.08944894099180503,0.016576854742668356,0.03456998928729733,0.010005232173953433,0.09034942749220393,0.02439207389706554,0.040473904902091525,0.03177498476086591,0.009274990507168032,0.049635585022799925,0.04092793085279095,0.02191591036307227,0.1262011869013661,0.015677538529933695,0.04249878567151607,0.0642227963351564,0.07358637213423248,0.022529920715255294,0.02072985018030826,0.06710538810672026,0.04901868064053446,0.01952527288487437
EBIT per Share,0.04160199070114275,0.03962361890948954,0.04693578463055867,0.06880624789283121,0.07782935208857078,0.07603164798480394,0.06610015060347615,0.06384412974615714,0.014860665949129976,0.03547900222454934,0.05469211087187808,0.05046073734815915,0.034964773202551085,-0.005514065751234952,0.038009682693536044,0.03524640461940393,0.044919636386680936,0.005970007147228893,0.009017797380094424,0.021507736630338354,0.021866928250978274,0.0237041261006887,0.06952324994686246,0.08714365083652559,0.09931392839710952,0.011577277242936742,0.06100877589516187,0.016860519323145376,0.013928821815678682,0.019545987121945708,0.06917932998316868,0.05796484425328507,0.03398890851487057,0.06665302688529695,0.08966011513365316,0.017958676436299986,0.03718303333284555,0.010318942952628049,0.08894966443652154,0.023833688426568668,0.036795420149284136,0.03038729212229762,0.005038842769095204,0.05227944671783587,0.039239590056389995,0.02238053753819974,0.10684647794653826,0.015339984286098398,0.043551928706475285,0.06984020701755642,0.07129128132224108,0.049107076123961854,0.019095070926617254,0.05997485325231058,0.04772014168121203,0.023660038052227578
Earnings per Share (Diluted),0.06358980422401643,0.06294842624881121,0.06078630691753078,0.06817126124435648,0.10554766752325928,0.0626998866123304,0.1473448764266233,0.1447654096754721,0.16906788998113073,0.07827682715853952,0.09578708514897163,0.1793495973350221,0.159801180886191,0.14750071723580652,0.07613534734758984,0.0944695281528028,0.0986236354891964,0.10523865327508215,0.10324303632102,0.10683420275655536,0.11436443921267231,0.12922117854167264,0.08991789457427743,0.1191707687517646,0.12086968110545972,0.12235994944058373,0.07392172855002688,0.12111500790688356,0.12111500790688356,0.12137776522500536,0.11016572769682703,0.10127087908012464,0.07089868393693936,0.07369677896951271,0.09409699049876731,0.13097272919837008,0.1963514502744306,0.1908847556502835,0.0975539487694697,0.124738959249841,0.11637951005157006,0.12869297288127557,0.16437233938812723,0.18965473253691797,0.16189514197002886,0.09737765680455185,0.1712607622675452,0.12339889182423261,0.11001257996196352,0.12217177760912297,0.08280253004325286,0.14102422215109858,0.11826376587180767,0.09142899747734505,0.12235571246685549,0.10641758278556637
EPS without NRI,-0.010170101463783518,-0.0097202969382198,-0.005322703252323916,0.0517932303783413,0.08296438249035548,0.041460863622488034,0.05922976118147474,0.020437873784968058,0.05079713691269892,0.06053326773513989,0.07324349801331001,0.08722829518050997,0.04256522478048583,0.01945739593010292,0.061566660139229866,0.09139639470318295,0.07170351131883809,0.06855372869231618,0.07867570766407425,0.12402882589783068,0.11870703750946596,0.07829578956607354,0.04939494379440448,0.07811289726344031,0.11674872829821592,0.09391676961055669,0.02596389139796104,0.09176929233420239,0.08864981385803522,0.08772569688069912,0.03311251911549062,0.029207648004020002,0.0029485596874606504,0.00602689627815389,0.03217079845329048,0.061095224212639375,0.10351117480328521,0.09559668815372216,0.04877526974842504,0.09237359249396862,0.05687046057155275,0.053356814980821524,0.044765009219028,0.08610234752252656,0.07244487352098095,0.03266969681575539,0.0836262264804374,0.11061569564655051,0.04190355084700864,0.050596239633045846,0.04303000062671098,0.01027593896721026,0.0761261172110283,0.016032423446313886,0.09546040381862836,0.0897029612205671
Owner Earnings per Share (TTM),0.0936315511570914,0.08660105974399937,0.09699219387599743,0.12115919161993666,0.11804951523480832,0.13907577317682296,0.12463911919341354,0.11523999104780838,0.0895374141752098,0.0828687794560918,0.08262880985564382,0.08924730152176973,0.08833654186861174,0.0069984228465936535,0.07602972556143842,0.0629615306663278,0.08858835063277833,0.05415741844588478,0.06424876423598534,0.06274693503093365,0.06138411286741491,0.05749238916038338,0.11082513744921363,0.1418530804572694,0.13744365221311217,0.053172729726819475,0.11640993994321922,0.058506714529090814,0.05165904043714764,0.06623867877800924,0.10744630850711145,0.11617629235356573,0.08833482571653517,0.11053590243718062,0.13487895879464448,0.06003327315279387,0.1375908626480834,0.13310393651837582,0.19887229204528076,0.06832893594819504,0.07313756177910172,0.07786834104341862,0.12668316968536564,0.14278399055889282,0.13446041976729667,0.10252091681995204,0.17920914480939387,0.056323863786107216,0.11163110857512655,0.11373356447757992,0.11530960658555475,0.13177354564361504,0.06574775102958519,0.12257697450318904,0.08712090211369494,0.058796487406019664
Free Cash Flow per Share,0.16164907870031134,0.15862589175031597,0.1441784946706383,0.09502984898081544,0.07082071617679533,0.0690894439120332,0.1775850704925135,0.15619597921683334,0.07824686795957488,0.06466706920541497,0.122912822730363,0.11634482120005717,0.12316422580003533,0.07588685406397412,0.05610732989924741,0.07254347604404528,0.06144226988739763,0.013802533385971186,0.015909121368263276,0.012058695101374091,0.028369583484384658,0.09368116933140774,0.08512154537474724,0.05975065263806188,0.06613293540253715,0.07346637259446244,0.0707262878098019,-0.011675829233972838,0.07320687049243531,0.0059095657626543965,0.13828665126076964,0.1453774285641841,0.06321737840123023,0.07578008823811909,0.07707918290272851,0.018197538604211194,0.026297205595458034,0.01523478486741123,0.07412778592930855,0.12156088654693235,0.13159257423947307,0.13789107489281163,0.08797432197450285,0.10502323614090345,0.10392237070218925,0.05798319648476019,0.15856464694535385,0.013880770545377032,0.16082797456397077,0.0740950307555558,0.09121415495041531,0.07695150184691593,0.1062187662336107,0.17186521835171073,0.043989181867351755,0.10334806456411268
Operating Cash Flow per Share,0.2821488720022005,0.10273294867852967,0.11411181055237056,0.08720186485685649,0.09410820331753167,0.0992909206711735,0.16970285920675882,0.15618856507620182,0.07767513044469712,0.06879600536886112,0.035678785911108624,0.08570228435139429,0.1224090397547479,0.07433301003557846,0.037819001785557124,0.05414612716990054,0.06451855619704049,0.02261634465510182,0.029411820989789124,0.03581767445938475,0.03886137393372394,0.10487329363813967,0.1700636359269582,0.09130916127385479,0.0874504416609274,0.02059154472169336,0.05718908088446363,0.01333656545520063,0.01773229897372523,0.013958296495723378,0.2365148632982082,0.14153526794662766,0.04140603951319024,0.07082823373673085,0.11460513129648447,0.014022238293251436,0.09191590271575097,0.09908553959171724,0.10199203568273142,0.09091492918763588,0.12159151849157229,0.1201016175749869,0.09010564711362172,0.10220663502558837,0.09320142115063641,0.06545480741711104,0.07392775257256737,0.018251860540950206,0.14186703971988396,0.07769987232495688,0.08055339348713486,0.08486218596409968,0.10624504093318099,0.15390599608699285,0.04121429512459855,0.09144570681968534
Cash per Share,0.12247721940645542,0.03304296716153252,0.12125486560611051,0.07406732192781623,0.12934186705492037,0.05776013113529383,0.13188663579692372,0.06000893594659498,0.08157032989252312,0.04845359898950623,0.07120095788623014,0.14558331517742623,0.0553826855352014,0.04392090276982047,0.059026313443683934,0.06712682778825571,0.0864656903498669,0.03750704509660495,0.042482692781111886,0.06203336768508522,0.060793523273199424,0.12463635001536852,0.0805790969515506,0.07446938040607713,0.10640340508825408,0.09796806646581188,0.1265578798245595,0.10451788727848821,0.10781552230879077,0.10959332586927142,0.15246511081221298,0.14278321454695025,0.03272639173757902,0.05787199745445033,0.07741841388510907,0.048236337958944026,0.13304767846265303,0.10934893168182303,0.13670671837007226,0.16581182519954174,0.10227144403655769,0.06953041012104376,0.10728548257698878,0.12738028763308448,0.1260953445245889,0.009713824992670376,0.12615003424772353,0.03435469945984898,0.06857117881869546,0.13568975468678707,0.16488581786398598,0.10893018647845265,0.1301024928974178,0.13914458547946704,0.08602595744498401,0.1198111808396609
